Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
31.92,67.01,48.12,red soil,Ground Nuts,43,3,0,28-28
33.98,51.19,32.23,red soil,Sugarcane,13,5,30,Urea
30.01,57.83,61.88,red soil,Tobacco,31,0,0,DAP
28.65,49.45,27.65,loamy soil,Ground Nuts,6,6,32,17-17-17
23.43,46.91,62.82,red soil,Pulses,35,0,4,Urea
35.77,60.14,36.61,black soil,Maize,8,15,19,10-26-26
38.55,58.08,53.88,loamy soil,Paddy,15,14,16,17-17-17
26.71,42.66,48.03,black soil,Millets,7,0,32,28-28
31.59,69.57,52.01,black soil,Tobacco,13,4,37,28-28
29.49,67.11,63.28,black soil,Oil seeds,9,15,11,28-28
32.29,56.56,63.14,loamy soil,Barley,26,2,18,10-26-26
25.89,52.78,32.13,loamy soil,Oil seeds,9,10,30,10-26-26
22.39,59.45,42.31,red soil,Pulses,27,2,18,10-26-26
24.48,64.32,40.94,clayey soils,Ground Nuts,11,0,12,17-17-17
30.09,52.45,34.93,black soil,Barley,40,0,0,20-20
30.67,44.15,46.13,loamy soil,Maize,21,0,24,28-28
29.46,64.44,26.19,clayey soils,Tobacco,7,7,29,28-28
34.69,71.9,21.7,loamy soil,Cotton,3,9,30,Urea
24.97,59.67,27.05,red soil,Paddy,9,11,34,Urea
24.87,56.1,31.14,sandy soil,Cotton,40,0,1,10-26-26
33.86,62.68,37.06,loamy soil,Paddy,7,4,43,10-26-26
33.35,53.25,64.49,sandy soil,Millets,10,5,24,28-28
27.73,53.14,25.75,clayey soils,Sugarcane,5,10,32,28-28
37.09,56.19,40.03,loamy soil,Paddy,25,0,22,Urea
26.19,61.82,26.83,sandy soil,Ground Nuts,38,1,1,DAP
24.93,67.58,47.18,red soil,Millets,15,0,37,20-20
33.39,71.79,31.6,black soil,Wheat,11,2,39,28-28
32.93,56.53,28.8,clayey soils,Maize,11,8,27,17-17-17
28.87,42.05,50.69,clayey soils,Oil seeds,13,0,4,14-35-14
36.94,53.17,24.98,sandy soil,Paddy,20,3,27,20-20
26.55,70.7,64.77,loamy soil,Cotton,6,10,11,DAP
26.48,49.62,32.7,sandy soil,Oil seeds,18,9,14,20-20
35.14,69.23,39.79,sandy soil,Ground Nuts,36,2,0,17-17-17
30.29,55.55,44.77,red soil,Wheat,18,0,10,20-20
21.54,43.75,56.74,clayey soils,Wheat,7,0,7,10-26-26
26.69,61.8,55.35,sandy soil,Paddy,17,0,20,14-35-14
37.94,60.1,56.48,loamy soil,Maize,8,7,25,17-17-17
20.53,53.88,68.8,red soil,Tobacco,10,3,10,14-35-14
30.62,46.34,61.19,black soil,Barley,5,4,14,28-28
24.14,45.84,44.84,black soil,Sugarcane,7,22,14,20-20
21.95,59.83,69.07,sandy soil,Wheat,38,0,0,DAP
34.26,69.87,24.2,red soil,Tobacco,20,0,19,14-35-14
24.98,67.9,70.0,loamy soil,Wheat,14,0,38,10-26-26
23.0,55.77,37.58,clayey soils,Sugarcane,25,0,20,17-17-17
30.49,59.19,51.04,red soil,Cotton,11,16,15,20-20
31.65,69.41,33.59,sandy soil,Millets,6,0,34,20-20
30.68,61.61,38.4,loamy soil,Paddy,36,0,3,14-35-14
22.27,53.67,28.01,black soil,Pulses,16,0,13,10-26-26
30.65,59.18,52.5,clayey soils,Paddy,16,3,10,20-20
27.86,59.92,36.56,loamy soil,Oil seeds,14,0,40,20-20
31.58,55.46,70.0,red soil,Wheat,28,0,20,DAP
26.73,56.88,29.16,red soil,Maize,6,16,21,14-35-14
27.32,69.77,41.0,loamy soil,Barley,8,0,6,10-26-26
31.49,69.94,50.94,black soil,Paddy,36,0,2,14-35-14
39.76,50.39,44.02,red soil,Wheat,11,1,38,17-17-17
28.09,68.54,27.88,red soil,Maize,11,5,32,10-26-26
33.22,67.49,46.8,clayey soils,Pulses,9,10,29,28-28
33.09,77.6,43.37,clayey soils,Maize,35,0,2,Urea
27.89,49.02,36.06,black soil,Millets,11,10,13,DAP
31.17,69.37,43.42,sandy soil,Sugarcane,20,4,26,20-20
31.53,56.66,34.79,clayey soils,Ground Nuts,6,0,9,10-26-26
36.4,62.17,27.49,loamy soil,Ground Nuts,6,4,34,20-20
35.25,53.22,40.74,sandy soil,Pulses,13,4,40,DAP
29.6,51.91,43.03,sandy soil,Sugarcane,36,0,0,10-26-26
31.32,65.36,47.86,black soil,Sugarcane,6,7,25,28-28
32.98,67.67,45.92,loamy soil,Barley,25,3,21,14-35-14
28.48,49.43,44.67,sandy soil,Barley,3,0,14,17-17-17
38.56,74.3,55.08,black soil,Oil seeds,13,0,39,Urea
28.02,48.84,51.42,sandy soil,Wheat,8,3,29,28-28
37.73,70.55,52.64,black soil,Paddy,7,21,24,17-17-17
27.7,62.14,37.45,sandy soil,Wheat,21,0,19,10-26-26
28.26,59.17,33.07,red soil,Pulses,35,0,0,28-28
23.32,60.72,41.52,loamy soil,Sugarcane,21,0,23,Urea
23.39,59.59,32.49,red soil,Millets,17,0,21,17-17-17
31.91,64.57,48.22,sandy soil,Sugarcane,16,19,9,28-28
29.26,60.97,49.42,red soil,Cotton,25,0,21,14-35-14
26.27,51.6,34.24,sandy soil,Wheat,8,7,25,10-26-26
32.53,56.56,54.29,clayey soils,Pulses,26,0,16,20-20
25.72,53.66,21.91,red soil,Barley,6,10,31,28-28
28.01,42.25,31.47,black soil,Maize,6,15,23,DAP
34.74,68.72,29.09,loamy soil,Tobacco,40,2,0,DAP
22.55,43.39,55.77,sandy soil,Millets,4,0,12,Urea
34.51,66.37,51.86,black soil,Paddy,35,4,0,28-28
38.69,71.21,50.84,loamy soil,Wheat,8,18,8,Urea
30.33,52.42,35.68,sandy soil,Wheat,22,0,13,DAP
28.97,59.55,36.01,sandy soil,Wheat,8,11,18,17-17-17
35.45,70.4,26.6,loamy soil,Maize,39,0,2,DAP
31.27,70.01,49.6,red soil,Sugarcane,10,16,23,10-26-26
23.79,63.74,20.0,red soil,Wheat,7,9,31,17-17-17
31.04,45.07,31.17,clayey soils,Millets,9,4,17,28-28
28.78,47.92,40.88,clayey soils,Pulses,16,12,14,28-28
35.87,54.52,43.39,loamy soil,Pulses,17,3,37,Urea
29.98,45.13,41.6,loamy soil,Tobacco,11,18,15,10-26-26
31.61,65.58,41.29,loamy soil,Oil seeds,28,0,18,14-35-14
36.29,68.59,62.11,sandy soil,Pulses,37,0,0,14-35-14
31.74,64.98,31.38,loamy soil,Paddy,41,4,0,10-26-26
24.78,60.16,32.61,sandy soil,Maize,38,4,0,DAP
32.21,54.41,61.25,clayey soils,Maize,15,0,13,28-28
39.02,65.96,31.19,sandy soil,Cotton,10,10,30,DAP
27.01,57.18,41.37,clayey soils,Barley,38,2,0,28-28
25.91,59.25,20.86,clayey soils,Ground Nuts,37,2,3,20-20
29.51,57.2,41.79,loamy soil,Cotton,40,3,4,17-17-17
26.13,52.53,60.62,sandy soil,Maize,9,9,33,DAP
30.54,60.14,32.76,clayey soils,Sugarcane,26,0,26,14-35-14
31.78,66.16,38.27,clayey soils,Maize,23,0,22,20-20
22.1,52.62,42.41,black soil,Paddy,24,0,19,17-17-17
28.89,52.69,65.95,clayey soils,Pulses,8,0,5,14-35-14
23.98,55.96,30.85,red soil,Wheat,7,19,11,Urea
35.61,66.92,54.5,clayey soils,Sugarcane,44,0,0,DAP
30.52,54.37,41.46,loamy soil,Cotton,7,19,17,DAP
31.74,53.09,66.97,sandy soil,Cotton,13,8,28,Urea
29.78,73.97,57.26,sandy soil,Paddy,11,0,42,Urea
32.94,74.58,61.13,clayey soils,Paddy,40,0,3,10-26-26
38.5,58.84,52.22,black soil,Cotton,17,2,37,14-35-14
40.0,77.51,44.13,black soil,Paddy,14,0,44,17-17-17
31.51,69.17,49.11,red soil,Sugarcane,2,6,33,17-17-17
31.94,71.92,36.07,black soil,Maize,11,0,43,17-17-17
36.44,61.1,60.46,red soil,Millets,12,4,38,14-35-14
31.24,49.93,37.99,black soil,Maize,46,3,4,17-17-17
37.02,71.06,58.82,sandy soil,Oil seeds,7,9,28,20-20
37.22,61.58,47.35,loamy soil,Ground Nuts,43,2,0,14-35-14
32.45,68.21,21.16,sandy soil,Ground Nuts,7,21,18,Urea
38.94,73.94,64.07,red soil,Maize,12,0,12,17-17-17
32.45,52.61,41.79,loamy soil,Sugarcane,13,9,22,28-28
27.9,61.55,43.02,loamy soil,Tobacco,40,0,0,28-28
32.41,66.99,33.52,red soil,Barley,26,0,17,20-20
37.99,74.34,48.62,clayey soils,Wheat,13,9,12,10-26-26
25.88,57.09,44.64,clayey soils,Cotton,10,14,17,17-17-17
30.87,56.76,45.95,sandy soil,Oil seeds,42,2,0,10-26-26
28.55,43.74,27.1,clayey soils,Barley,36,4,0,20-20
31.83,58.92,38.28,clayey soils,Pulses,6,17,11,Urea
25.38,60.27,32.65,black soil,Tobacco,21,1,21,10-26-26
33.48,78.42,32.25,clayey soils,Paddy,13,0,39,Urea
30.79,61.19,66.13,loamy soil,Oil seeds,8,2,10,17-17-17
38.37,71.47,41.35,red soil,Paddy,42,0,0,20-20
38.52,65.09,55.29,black soil,Sugarcane,37,0,1,17-17-17
32.42,57.29,59.35,red soil,Maize,36,0,0,10-26-26
33.54,62.45,27.73,black soil,Maize,10,0,38,17-17-17
22.94,55.21,33.2,black soil,Sugarcane,21,0,26,DAP
34.64,54.07,30.24,red soil,Ground Nuts,36,0,4,20-20
27.18,54.31,58.77,black soil,Oil seeds,10,1,12,14-35-14
36.75,74.17,53.07,black soil,Millets,42,4,0,28-28
25.18,55.87,41.76,sandy soil,Pulses,16,0,39,10-26-26
35.59,76.91,52.53,clayey soils,Millets,15,3,41,17-17-17
28.46,53.05,34.92,red soil,Pulses,26,3,27,10-26-26
23.72,61.19,42.73,red soil,Pulses,38,0,4,DAP
38.08,63.07,27.4,black soil,Cotton,10,0,40,20-20
32.68,69.24,30.61,loamy soil,Ground Nuts,25,0,23,DAP
27.23,45.13,46.5,red soil,Millets,9,22,11,14-35-14
25.56,62.96,24.11,clayey soils,Tobacco,41,0,0,17-17-17
23.23,56.75,26.54,clayey soils,Wheat,14,0,3,DAP
32.08,56.04,57.99,sandy soil,Sugarcane,4,10,32,14-35-14
33.03,57.81,20.71,black soil,Tobacco,8,5,26,10-26-26
28.27,61.15,25.82,sandy soil,Oil seeds,6,6,34,17-17-17
25.2,60.8,40.83,black soil,Cotton,17,2,39,28-28
32.37,57.03,65.34,loamy soil,Paddy,34,1,2,28-28
32.77,65.31,56.5,loamy soil,Sugarcane,21,0,23,10-26-26
27.51,61.14,61.53,loamy soil,Pulses,8,0,39,10-26-26
36.35,64.04,65.28,black soil,Barley,5,9,27,Urea
20.36,57.7,38.39,red soil,Ground Nuts,25,0,18,DAP
33.04,52.2,21.85,clayey soils,Millets,7,15,18,10-26-26
35.94,62.93,28.98,red soil,Barley,3,6,26,DAP
25.69,61.45,23.95,black soil,Tobacco,37,0,0,28-28
27.55,59.01,28.77,loamy soil,Ground Nuts,36,2,4,20-20
38.84,74.14,70.0,loamy soil,Ground Nuts,12,2,38,20-20
32.3,62.68,41.53,clayey soils,Sugarcane,11,2,10,10-26-26
34.98,76.76,43.81,loamy soil,Barley,35,3,0,DAP
25.16,56.14,61.08,red soil,Pulses,12,1,35,10-26-26
38.09,65.45,47.28,loamy soil,Barley,7,14,14,17-17-17
37.0,70.38,34.26,loamy soil,Pulses,18,0,15,Urea
32.35,63.44,24.13,red soil,Cotton,41,4,0,14-35-14
32.28,67.55,49.48,red soil,Pulses,24,0,22,28-28
34.57,53.65,30.56,sandy soil,Ground Nuts,25,0,24,20-20
32.83,60.9,30.93,loamy soil,Cotton,8,9,25,14-35-14
31.17,67.47,56.61,loamy soil,Tobacco,12,0,7,DAP
35.93,63.52,47.76,clayey soils,Wheat,20,0,16,Urea
35.88,65.43,51.08,clayey soils,Oil seeds,11,15,10,Urea
23.9,50.65,40.95,red soil,Ground Nuts,40,0,4,17-17-17
32.3,58.56,36.13,sandy soil,Millets,25,2,20,20-20
29.21,68.29,33.86,black soil,Pulses,6,16,17,14-35-14
34.78,74.96,23.1,black soil,Oil seeds,8,0,32,28-28
33.65,59.37,58.73,sandy soil,Oil seeds,39,0,0,Urea
28.58,62.64,30.24,sandy soil,Cotton,13,1,14,Urea
30.6,46.79,28.45,red soil,Maize,8,0,6,14-35-14
31.13,61.96,56.93,clayey soils,Pulses,12,3,31,17-17-17
35.66,64.66,38.16,loamy soil,Pulses,12,4,16,10-26-26
38.02,73.39,34.53,black soil,Barley,40,0,0,17-17-17
26.7,42.56,25.82,red soil,Tobacco,9,11,17,Urea
30.06,56.63,49.63,clayey soils,Ground Nuts,9,0,12,10-26-26
32.38,67.07,45.41,clayey soils,Cotton,44,0,0,14-35-14
30.11,55.41,33.96,loamy soil,Millets,24,0,19,28-28
40.0,66.23,24.12,black soil,Paddy,8,0,14,20-20
28.18,56.88,55.26,red soil,Cotton,23,4,18,14-35-14
28.93,52.02,34.13,black soil,Cotton,10,0,32,Urea
32.94,60.02,33.0,black soil,Ground Nuts,7,10,25,DAP
30.05,71.84,55.66,black soil,Millets,1,10,28,17-17-17
30.5,66.54,39.44,clayey soils,Tobacco,10,0,12,DAP
36.14,63.53,29.95,red soil,Ground Nuts,16,0,37,20-20
29.07,58.16,32.93,clayey soils,Sugarcane,15,0,42,Urea
34.84,63.19,45.19,red soil,Sugarcane,38,1,2,10-26-26
34.61,67.29,36.72,loamy soil,Millets,37,4,0,Urea
26.2,53.65,56.71,sandy soil,Maize,36,3,0,14-35-14
33.91,63.82,41.45,black soil,Wheat,12,0,10,14-35-14
34.79,61.91,46.9,clayey soils,Wheat,38,2,0,10-26-26
26.74,57.16,20.0,clayey soils,Millets,37,0,4,17-17-17
32.91,56.48,45.87,black soil,Millets,4,0,18,Urea
24.06,65.78,58.11,red soil,Cotton,14,3,6,28-28
33.94,69.64,41.55,loamy soil,Paddy,10,3,29,17-17-17
27.16,54.78,41.9,black soil,Pulses,17,2,32,Urea
35.04,69.13,59.45,black soil,Sugarcane,14,14,13,10-26-26
26.78,53.14,37.57,black soil,Pulses,24,0,21,Urea
26.4,65.11,55.15,black soil,Pulses,3,9,37,Urea
30.74,54.35,61.21,sandy soil,Cotton,16,0,8,20-20
36.75,59.8,37.97,black soil,Sugarcane,21,0,23,17-17-17
25.11,48.12,62.98,loamy soil,Pulses,15,4,30,10-26-26
38.91,64.93,39.42,sandy soil,Pulses,38,2,1,DAP
26.05,58.12,35.26,black soil,Pulses,28,4,20,20-20
34.2,64.85,39.67,clayey soils,Maize,13,0,36,10-26-26
28.76,50.58,38.28,loamy soil,Oil seeds,35,3,1,17-17-17
34.06,71.7,43.15,red soil,Barley,12,12,28,28-28
26.51,56.57,20.0,sandy soil,Ground Nuts,11,13,27,DAP
21.36,56.53,34.78,black soil,Maize,3,15,24,28-28
28.11,45.27,48.25,sandy soil,Paddy,7,8,24,Urea
22.72,44.19,24.65,black soil,Pulses,38,0,3,14-35-14
22.54,52.75,31.79,red soil,Millets,21,3,18,DAP
24.5,42.83,57.23,loamy soil,Cotton,24,0,22,Urea
34.26,72.48,43.81,clayey soils,Ground Nuts,14,19,23,17-17-17
36.19,77.04,57.3,black soil,Ground Nuts,13,1,39,DAP
21.14,58.75,31.2,loamy soil,Maize,14,0,13,DAP
24.28,50.9,34.64,loamy soil,Millets,14,0,36,17-17-17
25.06,56.22,22.4,sandy soil,Millets,18,0,43,17-17-17
30.21,50.79,37.79,clayey soils,Barley,5,1,16,Urea
30.32,58.2,37.68,loamy soil,Tobacco,37,0,1,20-20
35.17,60.97,34.42,black soil,Ground Nuts,8,0,33,17-17-17
29.63,58.39,64.42,sandy soil,Barley,8,1,11,28-28
31.41,50.97,45.98,sandy soil,Millets,38,0,0,14-35-14
34.17,71.47,70.0,loamy soil,Tobacco,15,0,37,10-26-26
38.62,65.2,36.37,sandy soil,Tobacco,37,1,3,10-26-26
32.84,66.47,69.01,red soil,Sugarcane,12,5,35,Urea
30.87,74.24,62.38,clayey soils,Maize,7,16,9,14-35-14
26.02,52.58,39.77,red soil,Sugarcane,41,0,3,14-35-14
31.0,64.07,51.2,black soil,Wheat,13,3,11,28-28
30.47,58.88,38.22,red soil,Pulses,20,2,18,17-17-17
30.33,54.91,37.16,black soil,Millets,36,0,0,Urea
24.62,63.54,33.9,loamy soil,Wheat,43,0,0,Urea
34.5,61.62,61.48,red soil,Cotton,6,11,29,28-28
34.45,61.44,70.0,red soil,Sugarcane,13,12,24,DAP
28.91,60.07,39.93,black soil,Barley,34,0,3,20-20
31.57,53.14,20.33,sandy soil,Oil seeds,41,4,2,10-26-26
26.19,63.76,35.68,red soil,Millets,32,0,0,28-28
25.14,48.37,28.64,black soil,Millets,8,6,14,14-35-14
38.41,74.99,25.39,black soil,Maize,9,0,36,Urea
29.57,70.26,37.15,red soil,Millets,12,0,37,14-35-14
33.72,54.21,47.29,red soil,Oil seeds,24,0,18,DAP
33.3,57.9,57.26,black soil,Pulses,13,1,39,17-17-17
29.6,58.3,44.4,clayey soils,Wheat,36,3,0,20-20
27.83,60.88,29.59,red soil,Sugarcane,40,2,3,14-35-14
24.31,49.48,27.55,red soil,Millets,17,0,39,17-17-17
31.77,46.28,45.72,red soil,Cotton,35,1,0,17-17-17
28.65,59.24,40.45,clayey soils,Barley,10,13,22,28-28
30.23,72.24,57.55,red soil,Cotton,9,13,29,17-17-17
23.86,56.94,45.96,black soil,Paddy,17,4,10,14-35-14
24.03,59.41,55.3,sandy soil,Cotton,0,15,10,14-35-14
32.86,54.42,41.19,red soil,Ground Nuts,22,4,22,DAP
31.58,60.79,41.51,sandy soil,Barley,1,13,13,14-35-14
29.38,67.36,40.79,black soil,Tobacco,5,11,17,14-35-14
34.45,66.86,35.97,black soil,Maize,45,0,0,Urea
29.34,42.41,44.03,clayey soils,Tobacco,22,0,18,Urea
40.0,62.24,42.28,loamy soil,Pulses,14,1,18,14-35-14
31.51,63.07,38.77,loamy soil,Ground Nuts,23,1,13,Urea
27.67,45.92,36.55,loamy soil,Sugarcane,32,1,0,20-20
28.12,45.77,43.16,sandy soil,Ground Nuts,44,1,0,17-17-17
30.04,45.43,37.77,black soil,Maize,19,4,21,10-26-26
28.79,73.96,35.13,clayey soils,Wheat,16,3,42,DAP
31.74,63.18,24.75,loamy soil,Maize,11,13,16,10-26-26
36.76,59.74,39.36,black soil,Wheat,22,1,20,17-17-17
26.29,47.4,68.32,black soil,Pulses,6,0,7,14-35-14
25.37,50.94,25.52,black soil,Sugarcane,3,14,20,14-35-14
25.49,59.63,68.9,red soil,Barley,8,0,42,28-28
28.88,55.01,36.26,red soil,Pulses,39,0,0,10-26-26
34.53,58.86,52.25,black soil,Oil seeds,18,3,41,17-17-17
29.73,44.95,36.64,clayey soils,Sugarcane,10,0,38,Urea
30.05,59.14,39.13,red soil,Ground Nuts,17,0,43,20-20
30.67,61.01,35.65,clayey soils,Oil seeds,41,2,0,17-17-17
24.3,53.62,60.71,clayey soils,Sugarcane,9,2,35,10-26-26
37.7,56.61,57.93,loamy soil,Wheat,27,0,15,10-26-26
27.09,48.1,39.39,clayey soils,Ground Nuts,9,11,21,Urea
28.02,43.47,37.43,black soil,Sugarcane,33,0,2,28-28
34.62,64.2,39.87,sandy soil,Millets,21,1,19,28-28
33.0,72.49,26.85,loamy soil,Millets,11,3,36,20-20
37.48,74.71,50.16,sandy soil,Wheat,33,0,2,10-26-26
40.0,80.0,55.43,clayey soils,Paddy,42,4,0,DAP
33.47,62.71,36.43,loamy soil,Sugarcane,17,0,39,Urea
24.91,47.48,32.77,black soil,Pulses,17,0,21,17-17-17
30.89,57.6,53.41,sandy soil,Maize,41,1,0,28-28
25.22,53.11,39.07,red soil,Tobacco,24,0,14,20-20
30.68,66.46,37.19,red soil,Sugarcane,17,0,38,17-17-17
27.33,64.51,61.53,sandy soil,Millets,12,11,32,20-20
29.96,54.53,67.99,black soil,Ground Nuts,13,4,6,20-20
32.99,50.56,44.4,clayey soils,Sugarcane,4,15,14,14-35-14
36.5,76.58,69.11,sandy soil,Oil seeds,15,0,41,14-35-14
24.59,51.79,70.0,black soil,Paddy,9,3,8,28-28
28.14,64.83,42.85,loamy soil,Wheat,14,0,7,17-17-17
31.92,57.22,51.32,black soil,Millets,18,4,17,Urea
36.21,57.4,64.18,black soil,Oil seeds,34,0,1,28-28
29.54,58.68,37.33,black soil,Paddy,27,0,20,28-28
37.62,54.26,47.98,red soil,Sugarcane,8,0,8,17-17-17
23.0,53.85,26.32,clayey soils,Cotton,11,1,12,Urea
33.55,58.99,28.88,loamy soil,Paddy,33,3,0,20-20
25.2,54.36,56.57,black soil,Barley,5,16,13,14-35-14
28.1,57.31,69.25,sandy soil,Millets,40,0,0,10-26-26
26.32,61.03,28.0,black soil,Oil seeds,7,9,32,20-20
36.26,72.92,70.0,red soil,Barley,11,4,28,17-17-17
36.08,67.07,39.77,loamy soil,Cotton,4,7,26,28-28
26.61,51.72,36.01,red soil,Ground Nuts,45,0,0,28-28
22.55,57.45,46.58,red soil,Paddy,24,1,24,DAP
35.44,68.66,47.39,loamy soil,Wheat,13,20,20,20-20
31.47,64.11,65.21,black soil,Sugarcane,13,3,28,20-20
23.45,48.04,34.71,loamy soil,Sugarcane,33,4,1,14-35-14
32.95,47.81,36.46,sandy soil,Cotton,11,5,26,14-35-14
35.89,69.26,56.39,sandy soil,Tobacco,19,0,23,28-28
32.33,75.18,40.55,black soil,Sugarcane,14,19,23,10-26-26
38.98,58.36,50.55,red soil,Tobacco,16,0,42,Urea
33.44,62.95,26.99,clayey soils,Pulses,27,0,19,28-28
25.0,43.01,70.0,sandy soil,Maize,38,0,3,10-26-26
29.95,70.97,49.89,loamy soil,Tobacco,24,0,27,10-26-26
28.47,63.69,51.32,black soil,Cotton,8,0,8,10-26-26
37.78,67.61,42.9,loamy soil,Tobacco,37,0,0,28-28
20.85,59.67,27.39,black soil,Ground Nuts,15,9,6,DAP
34.47,55.91,64.25,loamy soil,Paddy,9,8,25,17-17-17
22.37,49.0,70.0,red soil,Paddy,40,1,0,28-28
22.29,47.57,66.46,sandy soil,Oil seeds,11,0,12,28-28
25.06,59.78,44.6,clayey soils,Millets,36,0,0,28-28
30.44,62.39,67.03,black soil,Pulses,22,2,19,17-17-17
24.39,43.91,36.11,red soil,Cotton,18,0,21,DAP
36.89,69.58,42.28,sandy soil,Cotton,37,0,0,28-28
30.22,50.85,59.57,clayey soils,Wheat,5,5,34,10-26-26
36.69,78.73,43.49,red soil,Oil seeds,35,0,3,20-20
29.5,42.7,52.43,loamy soil,Tobacco,21,0,21,Urea
36.74,61.86,29.3,clayey soils,Wheat,38,2,0,14-35-14
29.86,61.53,51.88,loamy soil,Millets,33,2,0,20-20
26.18,44.54,66.14,loamy soil,Wheat,8,0,17,20-20
24.23,54.33,34.93,sandy soil,Tobacco,5,10,28,14-35-14
25.05,64.63,47.88,loamy soil,Pulses,10,3,6,DAP
29.0,57.95,20.71,red soil,Oil seeds,12,16,11,10-26-26
39.5,59.87,52.35,black soil,Oil seeds,11,1,36,20-20
27.46,66.87,26.04,loamy soil,Maize,6,11,34,14-35-14
31.41,56.68,46.38,loamy soil,Paddy,10,15,17,28-28
26.18,54.54,46.83,sandy soil,Tobacco,37,1,0,17-17-17
31.52,51.09,41.27,loamy soil,Oil seeds,38,0,4,DAP
35.22,76.59,24.21,loamy soil,Oil seeds,10,1,39,14-35-14
37.69,54.05,40.24,loamy soil,Pulses,19,0,45,17-17-17
27.77,54.61,46.77,loamy soil,Wheat,12,3,32,10-26-26
32.86,65.21,45.16,sandy soil,Sugarcane,26,0,21,DAP
28.3,60.42,55.44,sandy soil,Paddy,11,13,17,Urea
34.98,64.48,51.57,clayey soils,Tobacco,12,0,37,14-35-14
39.31,59.72,40.8,red soil,Cotton,42,3,0,DAP
27.41,48.69,52.62,black soil,Wheat,11,3,33,DAP
29.89,59.26,51.55,sandy soil,Cotton,15,0,12,28-28
34.05,71.7,24.22,clayey soils,Pulses,26,0,18,20-20
23.91,43.52,39.54,black soil,Sugarcane,34,2,0,17-17-17
32.24,49.43,40.27,black soil,Cotton,36,0,0,14-35-14
36.98,53.44,24.52,clayey soils,Pulses,13,2,37,14-35-14
30.83,50.49,61.71,black soil,Oil seeds,18,4,36,DAP
27.06,51.39,53.38,clayey soils,Cotton,9,0,37,28-28
38.7,65.81,23.13,loamy soil,Wheat,6,0,34,20-20
30.9,55.65,30.7,loamy soil,Ground Nuts,11,6,11,20-20
27.98,46.24,47.68,loamy soil,Maize,21,0,24,Urea
38.27,60.33,37.69,sandy soil,Cotton,9,4,16,14-35-14
28.07,52.91,43.54,red soil,Tobacco,8,13,16,20-20
38.99,59.31,46.91,clayey soils,Ground Nuts,2,15,20,10-26-26
35.18,73.86,61.58,black soil,Cotton,12,0,14,17-17-17
29.63,51.13,59.87,sandy soil,Tobacco,4,12,36,Urea
26.44,66.93,58.88,clayey soils,Barley,17,0,38,10-26-26
32.97,76.36,35.98,red soil,Pulses,10,0,18,14-35-14
32.59,52.77,67.32,sandy soil,Wheat,14,0,38,Urea
40.0,61.28,57.03,clayey soils,Paddy,9,8,24,10-26-26
35.08,60.37,45.69,loamy soil,Barley,22,1,26,17-17-17
33.46,60.65,34.68,red soil,Cotton,17,0,7,20-20
32.95,66.06,24.22,red soil,Millets,19,0,21,28-28
27.46,63.08,52.97,black soil,Cotton,11,0,12,10-26-26
40.0,56.21,37.48,sandy soil,Ground Nuts,10,1,37,20-20
30.85,53.02,26.39,sandy soil,Wheat,12,2,27,10-26-26
24.58,43.05,67.17,clayey soils,Millets,40,3,2,14-35-14
32.99,64.5,30.16,red soil,Paddy,10,0,32,14-35-14
24.83,48.37,49.51,sandy soil,Pulses,9,3,39,10-26-26
30.82,56.4,56.14,red soil,Paddy,5,13,15,Urea
33.65,64.1,41.88,loamy soil,Maize,12,2,34,14-35-14
27.99,52.83,35.74,loamy soil,Ground Nuts,11,12,21,Urea
22.87,44.91,24.78,loamy soil,Barley,19,14,13,28-28
29.95,68.13,38.6,red soil,Sugarcane,21,0,15,DAP
39.25,76.98,28.94,clayey soils,Ground Nuts,12,0,37,Urea
29.82,66.85,23.96,loamy soil,Tobacco,9,20,12,17-17-17
26.66,63.18,32.47,sandy soil,Tobacco,42,4,0,20-20
30.12,47.45,64.3,loamy soil,Tobacco,36,4,0,14-35-14
28.82,53.22,38.74,clayey soils,Ground Nuts,26,1,17,DAP
23.42,54.77,33.63,black soil,Paddy,39,0,4,DAP
28.45,62.42,52.98,black soil,Ground Nuts,17,0,37,17-17-17
24.76,58.45,38.36,sandy soil,Wheat,11,0,15,DAP
31.65,56.41,30.22,red soil,Paddy,19,3,27,28-28
23.2,46.23,65.9,red soil,Wheat,39,4,4,Urea
33.52,60.5,52.77,red soil,Oil seeds,13,13,11,17-17-17
31.19,51.5,20.0,loamy soil,Cotton,13,8,28,14-35-14
27.52,51.39,46.96,black soil,Wheat,40,2,4,28-28
30.46,57.09,32.66,sandy soil,Tobacco,6,17,21,Urea
34.36,64.55,38.08,sandy soil,Pulses,25,1,19,10-26-26
32.14,57.35,49.7,loamy soil,Tobacco,19,1,36,DAP
36.81,60.97,46.15,black soil,Pulses,10,21,23,Urea
30.15,59.21,25.04,loamy soil,Pulses,20,3,16,14-35-14
29.77,63.09,47.01,red soil,Sugarcane,21,1,17,17-17-17
30.24,51.96,38.03,black soil,Pulses,36,0,3,Urea
24.97,47.28,41.8,black soil,Pulses,3,17,19,10-26-26
26.34,61.87,22.93,red soil,Maize,15,0,16,20-20
37.17,73.45,62.33,black soil,Millets,9,1,41,28-28
29.78,65.45,39.96,loamy soil,Paddy,9,3,39,14-35-14
